,segment,计数
43283,深深,90
20129,困难,90
38154,有所,90
66225,高冷,90
37538,暗恋,90
11613,全世界,90
51990,经济,90
56464,行业,90
38576,未曾,90
30262,总结,90
38460,期望,90
55634,莫名,90
64304,难道,90
40498,正常,89
27483,平常,89
59311,超过,89
44349,灵感,89
42326,注定,89
60208,辩论,89
40437,歌词,89
41208,气息,89
16912,变化,89
16297,原本,89
24303,学姐,89
34362,提醒,88
14637,加油,88
28908,征文,88
25284,寝室,88
20679,场景,88
31224,憧憬,88
27841,床上,88
49001,研究生,88
2809,一周,88
52487,网上,88
10938,做事,88
25943,小白,88
47046,画面,88
3302,一番,88
4660,不停,88
65710,食物,87
9004,仙女,87
52115,绘画,87
29908,忽然,87
30649,情话,87
45237,爷爷,87
48810,知己,87
57688,证明,87
24483,安全感,87
63137,长发,87
53752,背后,87
21253,复杂,87
31043,感性,87
18806,命运,87
58941,赚钱,87
14957,化妆,87
13953,初恋,87
52657,美女,86
59745,身影,86
8334,人会,86
41238,气质,86
8157,产品,86
1471,QQ,86
14725,动物,86
38311,有过,86
10466,保护,86
9674,伴侣,86
60357,过往,86
63292,门口,86
60355,过年,86
62148,部分,86
497,24,86
34959,收拾,86
503,25,86
66848,黑暗,85
11062,偶然,85
8364,人去,85
54046,脑海,85
31992,房间,85
13084,减肥,85
189,15,85
21329,夕阳,85
35103,放心,85
36749,早起,85
29436,心底,85
66175,高三,85
35307,教师,85
16618,发出,85
64968,面试,85
3447,一脸,85
29,00,85
36605,日本,84
8802,从前,84
17146,古风,84
16709,发现自己,84
48100,相机,84
7421,事业,84
15464,午后,84
34324,提前,84
11259,兄弟,84
53765,背景,84
49116,确定,84
49185,碰到,84
43942,满满的,84
52062,结局,84
39995,梦里,83
28810,影子,83
29690,必要,83
316,19,83
55425,茫茫人海,83
24987,害羞,83
46929,男女,83
15328,千万,83
8773,仍然,83
46075,玫瑰,83
60825,这篇,83
46883,电视剧,83
32376,打扰,83
41125,毫无,83
2507,一一,83
37215,是从,83
53191,考上,82
51796,练习,82
59727,身后,82
23218,奶奶,82
47426,白天,82
42964,海边,82
42545,活泼,82
10933,做个,82
7744,云南,82
45715,独特,82
10085,作业,81
36338,无所谓,81
39667,标题,81
38266,有缘,81
51174,精准,81
39661,标签,81
36837,时期,81
4628,不介意,81
36709,早就,81
48132,相见,81
17228,只想,81
84,100,81
254,17,81
29934,怀念,81
14946,匆匆,81
61477,逐渐,81
61738,道路,81
38320,有钱,81
8231,亲人,80
34744,撒娇,80
12167,兴奋,80
598,365,80
19743,四个,80
49833,称呼,80
47092,留在,80
56650,表示,80
43020,消失,80
521,28,80
12273,典型,80
41801,没人,80
50029,空气,80
11231,允许,80
64257,难得,80
9584,传统,80
28773,形象,80
41306,水平,79
61732,道理,79
10854,假期,79
7005,乐趣,79
3545,一身,79
35448,数学,79
62544,重点,79
27546,平静,79
59617,跳舞,79
45166,爱笑,79
43926,满意,79
51466,繁华,79
43260,深情,79
27807,广泛,79
19693,嘻嘻,79
65363,颜色,79
9615,伤心,79
13064,凌晨,79
54087,脚步,79
10863,假装,78
46485,甜蜜,78
44102,漫长,78
29541,心理学,78
42625,流浪,78
5212,不知不觉,78
63738,阶段,78
34953,收录,78
16320,厦门,78
27157,师傅,78
38589,未知,78
12218,其他人,78
19040,哈哈哈哈,78
12637,写诗,78
50392,笔友,78
26589,山东,78
16742,发给,78
53040,老家,78
22329,天下,78
30844,想念,78
30267,总能,78
28532,强大,78
17971,同桌,78
50137,窗外,78
36754,早餐,78
29386,心动,77
52117,给予,77
4498,下次,77
30028,思念,77
5833,两人,77
28253,异性,77
36071,方法,77
10814,倾听,77
6181,中午,77
21715,夜里,77
40616,此生,77
21894,大四,77
65283,领导,77
37897,最爱,77
29817,忧伤,77
61851,邂逅,77
6229,中学,77
40429,歌曲,76
61672,遇上,76
60860,这辈子,76
53030,老婆,76
43674,游泳,76
7216,书店,76
21953,大学毕业,76
20318,圈子,76
22960,奇怪,76
28129,开学,76
44511,点评,76
20093,团队,76
31335,成员,76
17216,只好,76
28995,很小,76
27763,广东,76
26864,工资,76
49927,稳定,76
35561,整理,76
30593,情怀,75
49397,神奇,75
60302,过于,75
36356,无数次,75
45086,爱好者,75
25975,小米,75
16327,厨房,75
56300,蛋糕,75
64261,难忘,75
7232,书法,75
32405,打游戏,75
60330,过后,75
47883,目光,75
8046,些许,75
27406,干嘛,75
30858,想来,74
63464,闲暇,74
54018,脆弱,74
25727,小孩子,74
31737,我用,74
28758,形容,74
8787,从事,74
36762,时不时,74
21921,大大的,74
46633,生病,74
46357,瑜伽,74
9221,任务,74
34201,控制,74
22476,天涯,74
21880,大哥,74
36973,明显,74
14691,动力,74
19853,四月,74
55174,苏州,74
8697,仅仅,74
31813,我该,74
60173,辜负,74
46242,班长,74
42064,河南,74
30564,情人,74
25991,小编,74
30985,意识,74
11863,公园,74
61788,遥远,74
59053,走向,74
10218,佩服,74
3355,一瞬间,74
17693,吃货,73
31469,我俩,73
9218,任何人,73
60683,这么久,73
60271,达到,73
34483,搞笑,73
22471,天津,73
22832,失落,73
26968,差点,73
27617,年轻人,73
25474,导致,73
43434,清晰,73
13878,创业,73
58123,说走就走,73
16564,反应,73
16603,发了,73
43713,湖南,73
50439,符合,72
32112,手工,72
56520,行走,72
37406,普通话,72
57200,角度,72
489,23,72
4603,不久,72
57029,要说,72
59938,转身,72
27223,带你去,72
27776,广告,72
61990,那段,72
40187,模式,72
40390,欺负,72
480,22,72
30939,愉快,72
30391,恰好,72
57968,语文,72
61828,避免,72
27560,年代,71
44731,热爱生活,71
16264,原则,71
20950,基础,71
20632,地说,71
56539,街头,71
28693,当成,71
21192,处于,71
45035,爱上,71
20489,地址,71
20653,地铁,71
56484,行动,71
58064,说完,71
8910,他会,71
64911,靠近,71
31047,感悟,71
32429,打篮球,71
7438,事儿,71
50385,笔下,71
36731,早点,71
43622,温馨,71
46949,男性,71
33019,抬头,71
36214,无关,71
51244,精致,71
36027,新鲜,71
20778,坚定,70
511,26,70
52136,绝不,70
36387,无比,70
13436,出发,70
51297,系列,70
16462,友谊,70
46051,玩游戏,70
47519,白色,70
48258,看似,70
34320,提出,70
48049,相对,70
6071,严重,70
65138,顺利,70
25725,小孩,70
5621,世上,70
4640,不住,70
60506,运气,70
16267,原创,70
20392,在乎,70
34541,携手,69
65699,食堂,69
8376,人员,69
50756,策划,69
20771,坚信,69
51523,红娘,69
48021,相关,69
48008,相伴,69
40931,每每,69
21205,处理,69
49820,积累,69
26547,展示,69
30432,悄悄,69
56465,行为,69
22821,失眠,69
31233,懂事,69
29949,怀里,69
63322,闪光点,69
39728,校区,69
48662,着急,69
45402,物质,69
5071,不易,69
13952,初心,69
59570,路痴,69
44471,点名,68
42,03,68
23066,套路,68
17897,同一个,68
50375,笑话,68
34937,收入,68
7945,五年,68
28351,弟弟,68
4714,不去,68
58690,质量,68
14644,加班,68
63122,长久,68
63847,附上,68
25706,小姐,68
5098,不止,68
35117,放松,68
50507,第一篇,68
63219,长相,68
25645,小可爱,68
8444,人心,68
33999,据说,68
44094,漫漫,68
54627,舍不得,68
40912,每年,68
22741,太过,68
24196,季节,68
20431,地上,68
18239,吐槽,67
43594,温度,67
58046,说出,67
34135,探索,67
32873,折腾,67
12640,写过,67
18423,听听,67
59048,走出,67
58294,课程,67
52700,美景,67
